iter	Passed	Remaining
202	1650	6481
203	1657	6469
204	1663	6452
205	1667	6426
206	1672	6406
207	1676	6382
208	1688	6388
209	1698	6389
210	1703	6368
211	1713	6367
212	1724	6370
213	1732	6364
214	1741	6357
215	1750	6353
216	1759	6347
217	1776	6371
218	1791	6389
219	1801	6388
220	1806	6366
221	1814	6358
222	1818	6334
223	1822	6311
224	1826	6290
225	1834	6284
226	1842	6273
227	1849	6261
228	1852	6237
229	1859	6226
230	1863	6204
231	1867	6183
232	1876	6176
233	1880	6154
234	1889	6149
235	1894	6133
236	1897	6110
237	1901	6086
238	1902	6058
239	1905	6034
240	1908	6011
241	1912	5989
242	1915	5966
243	1918	5943
244	1921	5922
245	1924	5899
246	1927	5875
247	1931	5855
248	1934	5834
249	1937	5812
250	1941	5792
251	1944	5770
252	1946	5748
253	1956	5746
254	1960	5727
255	1964	5708
256	1967	5689
257	1971	5670
258	1974	5648
259	1977	5627
260	1979	5606
261	1983	5587
262	1986	5566
263	1989	5547
264	1992	5527
265	1995	5506
266	1998	5485
267	2001	5465
268	2003	5445
269	2006	5425
270	2010	5407
271	2012	5387
272	2015	5368
273	2018	5349
274	2021	5330
275	2025	5313
276	2028	5293
277	2032	5277
278	2034	5258
279	2037	5240
280	2041	5222
281	2043	5204
282	2046	5185
283	2050	5169
284	2053	5151
285	2056	5133
286	2059	5117
287	2062	5099
288	2065	5081
289	2068	5063
290	2070	5045
291	2073	5028
292	2076	5010
293	2080	4996
294	2083	4978
295	2086	4961
296	2089	4945
297	2091	4927
298	2094	4910
299	2097	4893
300	2100	4877
301	2103	4861
302	2106	4844
303	2109	4829
304	2112	4813
305	2115	4797
306	2118	4782
307	2121	4766
308	2124	4750
309	2127	4735
310	2131	4722
311	2134	4707
312	2138	4693
313	2141	4677
314	2145	4665
315	2148	4649
316	2151	4634
317	2153	4619
318	2157	4606
319	2160	4591
320	2163	4576
321	2166	4561
322	2169	4547
323	2172	4532
324	2174	4517
325	2177	4502
326	2180	4488
327	2183	4473
328	2186	4459
329	2189	4445
330	2192	4430
331	2195	4417
332	2198	4404
333	2202	4391
334	2205	4378
335	2208	4365
336	2211	4351
337	2215	4339
338	2218	4325
339	2221	4311
340	2224	4298
341	2227	4285
342	2230	4272
343	2234	4262
344	2237	4248
345	2240	4235
346	2243	4222
347	2247	4210
348	2249	4196
349	2252	4183
350	2256	4172
351	2259	4159
352	2262	4146
353	2265	4134
354	2268	4121
355	2271	4108
356	2275	4098
357	2278	4086
358	2281	4073
359	2284	4062
360	2288	4050
361	2291	4037
362	2294	4026
363	2297	4014
364	2299	4001
365	2303	3990
366	2307	3979
367	2309	3967
368	2313	3956
369	2317	3946
370	2321	3935
371	2325	3925
372	2328	3914
373	2333	3906
374	2338	3898
375	2342	3887
376	2345	3876
377	2348	3865
378	2351	3853
379	2355	3842
380	2358	3831
381	2360	3819
382	2364	3809
383	2367	3797
384	2370	3786
385	2372	3774
386	2375	3762
387	2378	3751
388	2381	3741
389	2384	3729
390	2387	3718
391	2391	3708
392	2393	3697
393	2396	3686
394	2399	3675
395	2403	3665
396	2406	3654
397	2409	3643
398	2412	3634
399	2415	3622
400	2418	3612
401	2421	3602
402	2424	3591
403	2427	3580
404	2430	3570
405	2433	3559
406	2435	3549
407	2438	3538
408	2441	3528
409	2444	3517
410	2447	3507
411	2450	3496
412	2454	3488
413	2458	3480
414	2462	3471
415	2465	3461
416	2469	3452
417	2471	3441
418	2474	3431
419	2477	3421
420	2480	3411
421	2484	3402
422	2487	3392
423	2490	3382
424	2493	3372
425	2496	3363
426	2498	3353
427	2501	3343
428	2504	3334
429	2507	3323
430	2510	3314
431	2513	3305
432	2516	3295
433	2519	3286
434	2522	3276
435	2526	3267
436	2529	3259
437	2532	3249
438	2535	3240
439	2538	3230
440	2541	3221
441	2544	3212
442	2547	3203
443	2550	3194
444	2553	3185
445	2556	3175
446	2560	3167
447	2563	3158
448	2566	3149
449	2569	3140
450	2572	3131
451	2575	3122
452	2579	3114
453	2582	3105
454	2584	3096
455	2588	3087
456	2591	3079
457	2594	3070
458	2597	3061
459	2600	3052
460	2602	3043
461	2606	3034
462	2609	3026
463	2612	3018
464	2615	3009
465	2620	3002
466	2623	2994
467	2626	2985
468	2629	2977
469	2633	2969
470	2635	2960
471	2638	2951
472	2642	2944
473	2645	2936
474	2648	2927
475	2651	2919
476	2654	2910
477	2657	2901
478	2660	2894
479	2663	2885
480	2666	2876
481	2669	2868
482	2671	2860
483	2674	2851
484	2678	2844
485	2681	2835
486	2684	2827
487	2687	2820
488	2690	2811
489	2693	2803
490	2696	2795
491	2700	2787
492	2702	2779
493	2705	2771
494	2708	2763
495	2711	2755
496	2714	2747
497	2716	2738
498	2719	2730
499	2722	2722
500	2725	2714
501	2728	2706
502	2731	2699
503	2735	2691
504	2737	2683
505	2740	2675
506	2743	2667
507	2746	2659
508	2749	2652
509	2751	2643
510	2754	2636
511	2757	2628
512	2760	2620
513	2763	2612
514	2765	2604
515	2769	2597
516	2772	2589
517	2775	2582
518	2778	2575
519	2782	2568
520	2785	2561
521	2789	2554
522	2792	2546
523	2795	2539
524	2799	2532
525	2801	2524
526	2804	2517
527	2807	2509
528	2810	2502
529	2813	2494
530	2816	2487
531	2819	2480
532	2822	2473
533	2825	2466
534	2829	2458
535	2831	2451
536	2835	2444
537	2837	2437
538	2840	2429
539	2843	2422
540	2846	2415
541	2849	2407
542	2852	2400
543	2855	2393
544	2859	2387
545	2863	2380
546	2865	2373
547	2869	2366
548	2872	2359
549	2875	2352
550	2879	2346
551	2881	2338
552	2884	2331
553	2887	2324
554	2890	2318
555	2893	2310
556	2897	2304
557	2900	2297
558	2903	2290
559	2906	2283
560	2909	2276
561	2912	2269
562	2916	2263
563	2919	2256
564	2922	2250
565	2925	2243
566	2928	2236
567	2931	2229
568	2934	2222
569	2937	2215
570	2940	2209
571	2943	2202
572	2947	2196
573	2951	2190
574	2955	2184
575	2958	2178
576	2963	2172
577	2967	2166
578	2971	2160
579	2976	2155
580	2979	2148
581	2982	2142
582	2986	2135
583	2989	2129
584	2992	2122
585	2995	2116
586	2998	2109
587	3001	2103
588	3004	2096
589	3008	2090
590	3011	2083
591	3014	2077
592	3017	2071
593	3020	2064
594	3024	2058
595	3027	2052
596	3029	2045
597	3033	2039
598	3036	2032
599	3040	2026
600	3044	2021
601	3048	2015
602	3052	2009
603	3055	2003
604	3059	1997
605	3062	1991
606	3066	1985
607	3068	1978
608	3071	1972
609	3074	1965
610	3078	1959
611	3080	1953
612	3083	1946
613	3086	1940
614	3089	1934
615	3092	1928
616	3097	1922
617	3100	1916
618	3103	1910
619	3106	1904
620	3109	1897
621	3112	1891
622	3115	1885
623	3118	1879
624	3121	1872
625	3124	1866
626	3127	1860
627	3130	1854
628	3133	1848
629	3136	1842
630	3139	1836
631	3142	1830
632	3145	1823
633	3148	1817
634	3152	1812
635	3155	1806
636	3158	1799
637	3161	1793
638	3164	1787
639	3167	1781
640	3170	1775
641	3173	1769
642	3176	1763
643	3179	1757
644	3182	1751
645	3186	1746
646	3189	1740
647	3192	1734
648	3197	1729
649	3199	1722
650	3202	1716
651	3206	1711
652	3208	1705
653	3211	1699
654	3215	1693
655	3218	1687
656	3221	1681
657	3224	1676
658	3227	1670
659	3230	1664
660	3234	1658
661	3236	1652
662	3239	1646
663	3242	1640
664	3248	1636
665	3253	1631
666	3257	1626
667	3261	1620
668	3266	1615
669	3269	1610
670	3278	1607
671	3286	1604
672	3295	1601
673	3303	1597
674	3306	1591
675	3311	1586
676	3314	1581
677	3318	1575
678	3321	1570
679	3324	1564
680	3326	1558
681	3330	1553
682	3333	1547
683	3336	1541
684	3339	1535
685	3342	1530
686	3345	1524
687	3348	1518
688	3351	1512
689	3354	1507
690	3357	1501
691	3360	1495
692	3363	1490
693	3366	1484
694	3369	1478
695	3372	1473
696	3375	1467
697	3379	1462
698	3381	1456
699	3384	1450
700	3388	1445
701	3391	1439
702	3393	1433
703	3397	1428
704	3399	1422
705	3402	1416
706	3405	1411
707	3408	1405
708	3411	1400
709	3415	1394
710	3417	1389
711	3420	1383
712	3423	1377
713	3428	1373
714	3431	1367
715	3434	1362
716	3437	1356
717	3440	1351
718	3443	1345
719	3446	1340
720	3449	1334
721	3452	1329
722	3455	1323
723	3458	1318
724	3461	1312
725	3465	1307
726	3468	1302
727	3471	1296
728	3474	1291
729	3478	1286
730	3480	1280
731	3483	1275
732	3487	1270
733	3490	1264
734	3493	1259
735	3496	1254
736	3499	1248
737	3502	1243
738	3506	1238
739	3509	1232
740	3512	1227
741	3515	1222
742	3518	1216
743	3521	1211
744	3524	1206
745	3527	1201
746	3530	1195
747	3533	1190
748	3536	1185
749	3539	1179
750	3543	1174
751	3546	1169
752	3549	1164
753	3552	1158
754	3555	1153
755	3559	1148
756	3564	1144
757	3567	1138
758	3570	1133
759	3573	1128
760	3577	1123
761	3579	1118
762	3583	1113
763	3587	1108
764	3590	1102
765	3593	1097
766	3597	1092
767	3600	1087
768	3604	1082
769	3606	1077
770	3609	1072
771	3612	1066
772	3616	1061
773	3619	1056
774	3622	1051
775	3626	1046
776	3629	1041
777	3632	1036
778	3635	1031
779	3638	1026
780	3641	1021
781	3644	1015
782	3647	1010
783	3650	1005
784	3654	1000
785	3656	995
786	3659	990
787	3662	985
788	3666	980
789	3668	975
790	3673	970
791	3676	965
792	3678	960
793	3681	955
794	3684	950
795	3687	945
796	3691	940
797	3693	935
798	3696	929
799	3699	924
800	3702	919
801	3705	914
802	3707	909
803	3710	904
804	3714	899
805	3717	894
806	3719	889
807	3723	884
808	3726	879
809	3729	874
810	3736	870
811	3741	866
812	3746	861
813	3749	856
814	3752	851
815	3755	846
816	3758	841
817	3761	836
818	3764	831
819	3767	826
820	3770	822
821	3773	817
822	3776	812
823	3779	807
824	3782	802
825	3786	797
826	3789	792
827	3791	787
828	3794	782
829	3797	777
830	3802	773
831	3806	768
832	3809	763
833	3812	758
834	3815	753
835	3818	749
836	3821	744
837	3825	739
838	3828	734
839	3831	729
840	3834	724
841	3837	720
842	3840	715
843	3843	710
844	3846	705
845	3849	700
846	3852	695
847	3855	691
848	3858	686
849	3862	681
850	3864	676
851	3867	671
852	3870	667
853	3873	662
854	3876	657
855	3879	652
856	3883	647
857	3885	643
858	3888	638
859	3892	633
860	3894	628
861	3898	624
862	3901	619
863	3904	614
864	3907	609
865	3912	605
866	3915	600
867	3918	595
868	3921	591
869	3924	586
870	3927	581
871	3930	576
872	3933	572
873	3937	567
874	3940	562
875	3943	558
876	3946	553
877	3949	548
878	3953	544
879	3956	539
880	3959	534
881	3963	530
882	3966	525
883	3969	520
884	3972	516
885	3975	511
886	3978	506
887	3982	502
888	3985	497
889	3987	492
890	3993	488
891	3998	484
892	4004	479
893	4008	475
894	4017	471
895	4021	466
896	4025	462
897	4028	457
898	4031	452
899	4034	448
900	4037	443
901	4040	438
902	4043	434
903	4046	429
904	4049	425
905	4052	420
906	4056	415
907	4059	411
908	4062	406
909	4065	402
910	4068	397
911	4071	392
912	4074	388
913	4077	383
914	4081	379
915	4084	374
916	4087	369
917	4090	365
918	4094	360
919	4097	356
920	4101	351
921	4104	347
922	4106	342
923	4110	338
924	4113	333
925	4116	328
926	4120	324
927	4123	319
928	4125	315
929	4128	310
930	4132	306
931	4135	301
932	4138	297
933	4141	292
934	4145	288
935	4148	283
936	4151	279
937	4154	274
938	4157	270
939	4160	265
940	4163	261
941	4166	256
942	4169	252
943	4172	247
944	4175	243
945	4178	238
946	4181	234
947	4184	229
948	4187	225
949	4191	220
950	4195	216
951	4198	211
952	4201	207
953	4204	202
954	4207	198
955	4210	193
956	4213	189
957	4217	184
958	4220	180
959	4224	176
960	4228	171
961	4231	167
962	4234	162
963	4237	158
964	4241	153
965	4244	149
966	4247	144
967	4250	140
968	4253	136
969	4257	131
970	4260	127
971	4263	122
972	4267	118
973	4270	113
974	4272	109
975	4276	105
976	4278	100
977	4281	96
978	4284	91
979	4287	87
980	4290	83
981	4294	78
982	4297	74
983	4299	69
984	4302	65
985	4305	61
986	4308	56
987	4311	52
988	4314	47
989	4317	43
990	4320	39
991	4324	34
992	4326	30
993	4329	26
994	4332	21
995	4335	17
996	4338	13
997	4341	8
998	4344	4
999	4347	0
	11291	79
993	11298	68
994	11309	56
995	11317	45
996	11328	34
997	11344	22
998	11358	11
999	11365	0
